TTTT,Rare,0.009103,250000,2283.8,,/TTTT_TuneCUETP8M1_13TeV-amcatnlo-pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
TTTW,Rare,0.0008612,97200,97200,,/TTTW_TuneCUETP8M2T4_13TeV-madgraph-pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
TTW,Rare,0.2001,3120397,1054697.9,,/TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
TTWH,Rare,0.001344,100000,100000,,/TTWH_TuneCUETP8M2T4_13TeV-madgraph-pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
TTWJetsToQQ,Rare,0.405,833298,569424.1,,/TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
TTWW,Rare,0.007834,98300,98300,,/TTWW_TuneCUETP8M2T4_13TeV-madgraph-pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
TTWZ,Rare,0.002938,100000,100000,,/TTWZ_TuneCUETP8M2T4_13TeV-madgraph-pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
TTZH,Rare,0.001244,97800,97800,,/TTZH_TuneCUETP8M2T4_13TeV-madgraph-pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
TTZZ,Rare,0.001563,98400,98400,,/TTZZ_TuneCUETP8M2T4_13TeV-madgraph-pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
W1JetsToLNu,Reducible,8104,45283121,45283119,,/W1JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16NanoAODv5_PUMoriond17_v1-DeepTauv2p1_TauPOG-v1/USER
W2JetsToLNu,Reducible,2793,30064264,30064264,,/W2JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16NanoAODv5_PUMoriond17_v2-DeepTauv2p1_TauPOG-v1/USER
W3JetsToLNu,Reducible,992.5,19798117,19798111,,/W3JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16NanoAODv5_PUMoriond17_v2-DeepTauv2p1_TauPOG-v1/USER
W4JetsToLNu,Reducible,604,9116657,9116656,,/W4JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16NanoAODv5_PUMoriond17_v2-DeepTauv2p1_TauPOG-v1/USER
WJetsToLNu,Reducible,61526.7,29983250,29955958,,/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17NanoAODv5_PU2017_12Apr2018_v3-DeepTauv2p1_TauPOG-v1/USER
WWext,Rare,64.3,6988168,6988277.1,,/WW_TuneCUETP8M1_13TeV-pythia8/RunIISummer16NanoAODv5_PUMoriond17_ext1_v2-DeepTauv2p1_TauPOG-v1/USER
WZext,Rare,23.43,2997571,2997571,,/WZ_TuneCUETP8M1_13TeV-pythia8/RunIISummer16NanoAODv5_PUMoriond17_ext1_v2-DeepTauv2p1_TauPOG-v1/USER
ZHToTauTau,Signal,0.0593,599803,451664.6,,/ZHToTauTau_M125_13TeV_powheg_pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
ZZ,ZZ,12.14,1988098,1988097,ignore,/ZZ_TuneCUETP8M1_13TeV-pythia8/RunIISummer16NanoAODv5_PUMoriond17_v2-DeepTauv2p1_TauPOG-v1/USER
ZZTo4Lmcnlo,ZZ,1.365,10711000,20480000,,/ZZTo4L_13TeV-amcatnloFXFX-pythia8/alkaloge-Summer2016_nAODv5_DeepTID_v2p1-cb78e6d6915917e4b63fd5940fa9ea0f/USER
